OBJECTID,building_name,measured_height,building_class,storeys_above_ground,gameobject_name,lat,long
458,TELOK AYER CONSERVATION AREA,11.9130,habitation,4,CityEngineMaterial_458_m,1.28009,103.847
459,TELOK AYER CONSERVATION AREA,12.4210,habitation,4,CityEngineMaterial_459_m,1.28013,103.847
460,TELOK AYER CONSERVATION AREA,13.5750,habitation,5,CityEngineMaterial_460_m,1.28017,103.847
461,TELOK AYER CONSERVATION AREA,12.5960,habitation,4,CityEngineMaterial_461_m,1.28021,103.847
462,TELOK AYER CONSERVATION AREA,11.8770,habitation,4,CityEngineMaterial_462_m,1.28025,103.847
463,TELOK AYER CONSERVATION AREA,12.3960,habitation,4,CityEngineMaterial_463_m,1.28030,103.847
464,TELOK AYER CONSERVATION AREA,11.5680,habitation,4,CityEngineMaterial_464_m,1.28035,103.847
465,TELOK AYER CONSERVATION AREA,11.1460,habitation,4,CityEngineMaterial_465_m,1.28042,103.847
466,TELOK AYER CONSERVATION AREA,10.1000,habitation,3,CityEngineMaterial_466_m,1.28048,103.847
467,TELOK AYER CONSERVATION AREA,8.9030,habitation,3,CityEngineMaterial_467_m,1.28052,103.847
468,TELOK AYER CONSERVATION AREA,17.4200,habitation,6,CityEngineMaterial_468_m,1.28056,103.847
469,TELOK AYER CONSERVATION AREA,12.8090,habitation,4,CityEngineMaterial_469_m,1.28060,103.847
470,TELOK AYER CONSERVATION AREA,11.3920,habitation,4,CityEngineMaterial_470_m,1.28065,103.847
471,TELOK AYER CONSERVATION AREA,13.5200,habitation,5,CityEngineMaterial_471_m,1.28069,103.847
472,MAXWELL FOOD CENTRE,9.6840,"business, trade",3,CityEngineMaterial_472_m,1.28033,103.845
473,,19.8270,"business, trade",7,CityEngineMaterial_473_m,1.28054,103.845
474,THE SCARLET HOTEL,10.0070,"business, trade",3,CityEngineMaterial_474_m,1.28089,103.845
475,TELOK AYER CONSERVATION AREA,7.9180,habitation,3,CityEngineMaterial_475_m,1.28120,103.845
476,TELOK AYER CONSERVATION AREA,11.4230,habitation,4,CityEngineMaterial_476_m,1.28130,103.845
477,TELOK AYER CONSERVATION AREA,10.3510,,3,CityEngineMaterial_477_m,1.28135,103.845
478,HERITAGE HOSTEL,10.9490,habitation,4,CityEngineMaterial_478_m,1.28139,103.845
479,,10.0430,,3,CityEngineMaterial_479_m,1.28142,103.845
480,,10.2640,,3,CityEngineMaterial_480_m,1.28146,103.845
481,TELOK AYER CONSERVATION AREA,9.6930,,3,CityEngineMaterial_481_m,1.28149,103.845
482,TELOK AYER CONSERVATION AREA,10.5670,habitation,4,CityEngineMaterial_482_m,1.28153,103.845
483,TELOK AYER CONSERVATION AREA,10.6780,habitation,4,CityEngineMaterial_483_m,1.28157,103.845
484,TELOK AYER CONSERVATION AREA,14.3050,,5,CityEngineMaterial_484_m,1.28062,103.846
485,TELOK AYER CONSERVATION AREA,17.5050,,6,CityEngineMaterial_485_m,1.28068,103.846
486,THE CLUB,16.9650,,6,CityEngineMaterial_486_m,1.28075,103.846
487,TELOK AYER CONSERVATION AREA,18.1290,habitation,6,CityEngineMaterial_487_m,1.28089,103.846
488,TELOK AYER CONSERVATION AREA,17.7460,habitation,6,CityEngineMaterial_488_m,1.28094,103.846
489,TELOK AYER CONSERVATION AREA,17.1970,habitation,6,CityEngineMaterial_489_m,1.28099,103.846
490,TELOK AYER CONSERVATION AREA,17.5330,habitation,6,CityEngineMaterial_490_m,1.28104,103.846
491,TELOK AYER CONSERVATION AREA,19.1920,,6,CityEngineMaterial_491_m,1.28109,103.846
492,TELOK AYER CONSERVATION AREA,15.5960,habitation,5,CityEngineMaterial_492_m,1.28114,103.846
493,,15.3300,,5,CityEngineMaterial_493_m,1.28118,103.846
494,,17.7560,"business, trade",6,CityEngineMaterial_494_m,1.28125,103.845
495,TELOK AYER CONSERVATION AREA,12.5460,habitation,4,CityEngineMaterial_495_m,1.28134,103.845
496,TELOK AYER CONSERVATION AREA,12.2310,habitation,4,CityEngineMaterial_496_m,1.28136,103.845
497,TELOK AYER CONSERVATION AREA,12.5720,habitation,4,CityEngineMaterial_497_m,1.28139,103.845
498,TELOK AYER CONSERVATION AREA,11.5640,habitation,4,CityEngineMaterial_498_m,1.28141,103.845
499,,14.8750,,5,CityEngineMaterial_499_m,1.28057,103.846
500,,15.1340,,5,CityEngineMaterial_500_m,1.28062,103.846
501,TELOK AYER CONSERVATION AREA,9.9670,habitation,3,CityEngineMaterial_501_m,1.28066,103.846
502,TELOK AYER CONSERVATION AREA,10.0170,habitation,3,CityEngineMaterial_502_m,1.28071,103.846
503,,10.0500,habitation,3,CityEngineMaterial_503_m,1.28074,103.846
